"","meses_no_local_alocado","churn","idade","anos_formacao","atuacao_previa_no_municipio","anos_atuacao_previa_no_municipio","media_vinculos_mes","Prorrogado","m_agente_saude","m_tec_aux_enf","m_enfermeiro","m_dentista","regiao_destino","populacao","porte","pib_percapita","variacao_pib","tx_pop_ocupada_2019","orcamento_saude","esgotamento_sanitario","taxa_homicidio","ideb_anosfinais","investimento_infraestrutura","equipamentos_esportivos","equipamentos_culturais","distancia_capital"
"837",15,"migrou",38,4,"Não",0,1,"NÃO",6,1,1.4,1,"Nordeste",644037,"GP",21580.08,83,16.2217388131427,443.29,21.78,37.591,4.6,2419.647,0.573,0.717,19
"838",66,"permanece",40,10.5023956194387,"Não",0,1,"SIM",7.51515151515152,1,1.25378787878788,1,"Nordeste",644037,"GP",21580.08,83,16.2217388131427,443.29,21.78,37.591,4.6,2419.647,0.573,0.717,19
"839",68,"permanece",42,10.4969199178645,"Não",0,1,"SIM",6.26470588235294,1.07352941176471,1.04411764705882,1.02941176470588,"Nordeste",644037,"GP",21580.08,83,16.2217388131427,443.29,21.78,37.591,4.6,2419.647,0.573,0.717,19
"840",68,"migrou",43,5.08418891170431,"Não",0,1,"SIM",8.25,1,1.17647058823529,1,"Nordeste",644037,"GP",21580.08,83,16.2217388131427,443.29,21.78,37.591,4.6,2419.647,0.573,0.717,19
"841",68,"permanece",34,2.49691991786448,"Não",0,1,"SIM",10.5961538461538,1,2.57692307692308,NA,"Nordeste",644037,"GP",21580.08,83,16.2217388131427,443.29,21.78,37.591,4.6,2419.647,0.573,0.717,19
"842",42,"migrou",34,28.2518822724162,"Não",0,1,"NÃO",9,1,1.36363636363636,1.63636363636364,"Nordeste",644037,"GP",21580.08,83,16.2217388131427,443.29,21.78,37.591,4.6,2419.647,0.573,0.717,19
"843",73,"migrou",34,2.08350444900753,"Sim",2,2.02941176470588,"SIM",8,1.48529411764706,1.01470588235294,NA,"Nordeste",644037,"GP",21580.08,83,16.2217388131427,443.29,21.78,37.591,4.6,2419.647,0.573,0.717,19
"844",68,"permanece",33,0.167008898015058,"Não",0,1,"SIM",8.36764705882353,1,1.13235294117647,NA,"Nordeste",644037,"GP",21580.08,83,16.2217388131427,443.29,21.78,37.591,4.6,2419.647,0.573,0.717,19
"845",73,"permanece",40,7.08555783709788,"Sim",1.75,2.38235294117647,"SIM",6.63235294117647,1.41176470588235,1.11764705882353,NA,"Nordeste",644037,"GP",21580.08,83,16.2217388131427,443.29,21.78,37.591,4.6,2419.647,0.573,0.717,19
"846",16,"migrou",31,0.0848733744010951,"Não",0,1,"NÃO",6.625,2,1,1,"Nordeste",10247,"PP-I",8658.99,77,7.49487654923392,920.69,0,68.634,4,953.005,8.57,17.141,148
